12th August 2026 18:53:34 IST | destination_available | {"ts_utc": "2026-08-12T13:23:34.528028+00:00", "ts_ist": "12th August 2026 18:53:34 IST", "stream": "4h", "type": "destination_available", "symbol": "EURUSD", "zone_id": "4h-596-1", "direction": "demand", "lower": 1.02918, "upper": 1.03005, "proximal": 1.03005, "distal": 1.02918, "origin_time": 1739232000, "confirmed_at": 1739289600, "state": "unmitigated"}
12th August 2026 18:53:42 IST | destination_available | {"ts_utc": "2026-08-12T13:23:42.550734+00:00", "ts_ist": "12th August 2026 18:53:42 IST", "stream": "4h", "type": "destination_available", "symbol": "GBPUSD", "zone_id": "4h-1774-1", "direction": "demand", "lower": 1.30095, "upper": 1.30207, "proximal": 1.30207, "distal": 1.30095, "origin_time": 1762300800, "confirmed_at": 1762401600, "state": "unmitigated"}
12th August 2026 18:53:42 IST | destination_available | {"ts_utc": "2026-08-12T13:23:42.550734+00:00", "ts_ist": "12th August 2026 18:53:42 IST", "stream": "4h", "type": "destination_available", "symbol": "GBPUSD", "zone_id": "4h-1856-1", "direction": "demand", "lower": 1.30986, "upper": 1.31053, "proximal": 1.31053, "distal": 1.30986, "origin_time": 1764028800, "confirmed_at": 1764057600, "state": "unmitigated"}
12th August 2026 18:53:42 IST | destination_available | {"ts_utc": "2026-08-12T13:23:42.551734+00:00", "ts_ist": "12th August 2026 18:53:42 IST", "stream": "4h", "type": "destination_available", "symbol": "GBPUSD", "zone_id": "4h-1858-1", "direction": "demand", "lower": 1.31083, "upper": 1.31216, "proximal": 1.31216, "distal": 1.31083, "origin_time": 1764057600, "confirmed_at": 1764086400, "state": "unmitigated"}
12th August 2026 18:53:42 IST | destination_available | {"ts_utc": "2026-08-12T13:23:42.551734+00:00", "ts_ist": "12th August 2026 18:53:42 IST", "stream": "4h", "type": "destination_available", "symbol": "GBPUSD", "zone_id": "4h-2145--1", "direction": "supply", "lower": 1.37696, "upper": 1.37799, "proximal": 1.37696, "distal": 1.37799, "origin_time": 1769760000, "confirmed_at": 1769788800, "state": "unmitigated"}
12th August 2026 18:53:42 IST | destination_available | {"ts_utc": "2026-08-12T13:23:42.551734+00:00", "ts_ist": "12th August 2026 18:53:42 IST", "stream": "4h", "type": "destination_available", "symbol": "GBPUSD", "zone_id": "4h-2590--1", "direction": "supply", "lower": 1.36068, "upper": 1.36528, "proximal": 1.36068, "distal": 1.36528, "origin_time": 1778500800, "confirmed_at": 1778572800, "state": "unmitigated"}
12th August 2026 18:53:42 IST | destination_available | {"ts_utc": "2026-08-12T13:23:42.552734+00:00", "ts_ist": "12th August 2026 18:53:42 IST", "stream": "4h", "type": "destination_available", "symbol": "GBPUSD", "zone_id": "4h-2803-1", "direction": "demand", "lower": 1.31877, "upper": 1.31987, "proximal": 1.31987, "distal": 1.31877, "origin_time": 1782676800, "confirmed_at": 1782748800, "state": "unmitigated"}
12th August 2026 18:53:42 IST | destination_available | {"ts_utc": "2026-08-12T13:23:42.552734+00:00", "ts_ist": "12th August 2026 18:53:42 IST", "stream": "4h", "type": "destination_available", "symbol": "GBPUSD", "zone_id": "4h-2815-1", "direction": "demand", "lower": 1.32387, "upper": 1.3244, "proximal": 1.3244, "distal": 1.32387, "origin_time": 1782892800, "confirmed_at": 1782921600, "state": "unmitigated"}
12th August 2026 18:53:42 IST | destination_available | {"ts_utc": "2026-08-12T13:23:42.553737+00:00", "ts_ist": "12th August 2026 18:53:42 IST", "stream": "4h", "type": "destination_available", "symbol": "GBPUSD", "zone_id": "4h-2940-1", "direction": "demand", "lower": 1.3278, "upper": 1.32925, "proximal": 1.32925, "distal": 1.3278, "origin_time": 1785326400, "confirmed_at": 1785355200, "state": "unmitigated"}
12th August 2026 18:53:42 IST | destination_available | {"ts_utc": "2026-08-12T13:23:42.553737+00:00", "ts_ist": "12th August 2026 18:53:42 IST", "stream": "4h", "type": "destination_available", "symbol": "GBPUSD", "zone_id": "4h-2944-1", "direction": "demand", "lower": 1.33324, "upper": 1.33447, "proximal": 1.33447, "distal": 1.33324, "origin_time": 1785384000, "confirmed_at": 1785412800, "state": "unmitigated"}
12th August 2026 18:53:42 IST | destination_available | {"ts_utc": "2026-08-12T13:23:42.554734+00:00", "ts_ist": "12th August 2026 18:53:42 IST", "stream": "4h", "type": "destination_available", "symbol": "GBPUSD", "zone_id": "4h-2982-1", "direction": "demand", "lower": 1.34449, "upper": 1.34527, "proximal": 1.34527, "distal": 1.34449, "origin_time": 1786075200, "confirmed_at": 1786118400, "state": "unmitigated"}
12th August 2026 18:53:42 IST | destination_available | {"ts_utc": "2026-08-12T13:23:42.554734+00:00", "ts_ist": "12th August 2026 18:53:42 IST", "stream": "4h", "type": "destination_available", "symbol": "GBPUSD", "zone_id": "4h-2989-1", "direction": "demand", "lower": 1.34828, "upper": 1.34882, "proximal": 1.34882, "distal": 1.34828, "origin_time": 1786320000, "confirmed_at": 1786377600, "state": "unmitigated"}
12th August 2026 18:53:42 IST | destination_available | {"ts_utc": "2026-08-12T13:23:42.555735+00:00", "ts_ist": "12th August 2026 18:53:42 IST", "stream": "4h", "type": "destination_available", "symbol": "GBPUSD", "zone_id": "4h-3000-1", "direction": "demand", "lower": 1.35012, "upper": 1.35089, "proximal": 1.35089, "distal": 1.35012, "origin_time": 1786492800, "confirmed_at": 1786536000, "state": "unmitigated"}
12th August 2026 18:53:51 IST | destination_available | {"ts_utc": "2026-08-12T13:23:51.205495+00:00", "ts_ist": "12th August 2026 18:53:51 IST", "stream": "4h", "type": "destination_available", "symbol": "USDJPY", "zone_id": "4h-907-1", "direction": "demand", "lower": 140.168, "upper": 140.28, "proximal": 140.28, "distal": 140.168, "origin_time": 1745308800, "confirmed_at": 1745352000, "state": "unmitigated"}
12th August 2026 18:53:51 IST | destination_available | {"ts_utc": "2026-08-12T13:23:51.205495+00:00", "ts_ist": "12th August 2026 18:53:51 IST", "stream": "4h", "type": "destination_available", "symbol": "USDJPY", "zone_id": "4h-913-1", "direction": "demand", "lower": 141.573, "upper": 141.868, "proximal": 141.868, "distal": 141.573, "origin_time": 1745395200, "confirmed_at": 1745438400, "state": "unmitigated"}
12th August 2026 18:53:51 IST | destination_available | {"ts_utc": "2026-08-12T13:23:51.206495+00:00", "ts_ist": "12th August 2026 18:53:51 IST", "stream": "4h", "type": "destination_available", "symbol": "USDJPY", "zone_id": "4h-1219-1", "direction": "demand", "lower": 143.42, "upper": 143.603, "proximal": 143.603, "distal": 143.42, "origin_time": 1751486400, "confirmed_at": 1751558400, "state": "unmitigated"}
12th August 2026 18:53:51 IST | destination_available | {"ts_utc": "2026-08-12T13:23:51.206495+00:00", "ts_ist": "12th August 2026 18:53:51 IST", "stream": "4h", "type": "destination_available", "symbol": "USDJPY", "zone_id": "4h-1231-1", "direction": "demand", "lower": 144.45, "upper": 144.558, "proximal": 144.558, "distal": 144.45, "origin_time": 1751659200, "confirmed_at": 1751889600, "state": "unmitigated"}
12th August 2026 18:53:51 IST | destination_available | {"ts_utc": "2026-08-12T13:23:51.206495+00:00", "ts_ist": "12th August 2026 18:53:51 IST", "stream": "4h", "type": "destination_available", "symbol": "USDJPY", "zone_id": "4h-1608--1", "direction": "supply", "lower": 148.566, "upper": 148.67, "proximal": 148.566, "distal": 148.67, "origin_time": 1759161600, "confirmed_at": 1759219200, "state": "unmitigated"}
12th August 2026 18:53:51 IST | destination_available | {"ts_utc": "2026-08-12T13:23:51.207496+00:00", "ts_ist": "12th August 2026 18:53:51 IST", "stream": "4h", "type": "destination_available", "symbol": "USDJPY", "zone_id": "4h-1614--1", "direction": "supply", "lower": 147.853, "upper": 148.024, "proximal": 147.853, "distal": 148.024, "origin_time": 1759262400, "confirmed_at": 1759305600, "state": "unmitigated"}
12th August 2026 18:53:51 IST | destination_available | {"ts_utc": "2026-08-12T13:23:51.208500+00:00", "ts_ist": "12th August 2026 18:53:51 IST", "stream": "4h", "type": "destination_available", "symbol": "USDJPY", "zone_id": "4h-1631-1", "direction": "demand", "lower": 147.216, "upper": 147.409, "proximal": 147.409, "distal": 147.216, "origin_time": 1759478400, "confirmed_at": 1759708800, "state": "unmitigated"}
12th August 2026 18:53:51 IST | destination_available | {"ts_utc": "2026-08-12T13:23:51.208500+00:00", "ts_ist": "12th August 2026 18:53:51 IST", "stream": "4h", "type": "destination_available", "symbol": "USDJPY", "zone_id": "4h-1702-1", "direction": "demand", "lower": 150.405, "upper": 150.699, "proximal": 150.699, "distal": 150.405, "origin_time": 1760961600, "confirmed_at": 1761048000, "state": "unmitigated"}
12th August 2026 18:53:51 IST | destination_available | {"ts_utc": "2026-08-12T13:23:51.208500+00:00", "ts_ist": "12th August 2026 18:53:51 IST", "stream": "4h", "type": "destination_available", "symbol": "USDJPY", "zone_id": "4h-2226-1", "direction": "demand", "lower": 153.06, "upper": 153.253, "proximal": 153.253, "distal": 153.06, "origin_time": 1771358400, "confirmed_at": 1771430400, "state": "unmitigated"}
12th August 2026 18:53:51 IST | destination_available | {"ts_utc": "2026-08-12T13:23:51.209499+00:00", "ts_ist": "12th August 2026 18:53:51 IST", "stream": "4h", "type": "destination_available", "symbol": "USDJPY", "zone_id": "4h-2248-1", "direction": "demand", "lower": 154.35, "upper": 154.92, "proximal": 154.92, "distal": 154.35, "origin_time": 1771848000, "confirmed_at": 1771905600, "state": "unmitigated"}
12th August 2026 18:53:51 IST | destination_available | {"ts_utc": "2026-08-12T13:23:51.209499+00:00", "ts_ist": "12th August 2026 18:53:51 IST", "stream": "4h", "type": "destination_available", "symbol": "USDJPY", "zone_id": "4h-2944--1", "direction": "supply", "lower": 163.498, "upper": 163.735, "proximal": 163.498, "distal": 163.735, "origin_time": 1785384000, "confirmed_at": 1785412800, "state": "unmitigated"}
12th August 2026 18:53:51 IST | destination_available | {"ts_utc": "2026-08-12T13:23:51.210500+00:00", "ts_ist": "12th August 2026 18:53:51 IST", "stream": "4h", "type": "destination_available", "symbol": "USDJPY", "zone_id": "4h-2988-1", "direction": "demand", "lower": 156.664, "upper": 158.325, "proximal": 158.325, "distal": 156.664, "origin_time": 1786104000, "confirmed_at": 1786363200, "state": "unmitigated"}
12th August 2026 18:53:58 IST | destination_available | {"ts_utc": "2026-08-12T13:23:58.377512+00:00", "ts_ist": "12th August 2026 18:53:58 IST", "stream": "4h", "type": "destination_available", "symbol": "USDCHF", "zone_id": "4h-606--1", "direction": "supply", "lower": 0.91323, "upper": 0.91381, "proximal": 0.91323, "distal": 0.91381, "origin_time": 1739390400, "confirmed_at": 1739433600, "state": "unmitigated"}
12th August 2026 18:53:58 IST | destination_available | {"ts_utc": "2026-08-12T13:23:58.378512+00:00", "ts_ist": "12th August 2026 18:53:58 IST", "stream": "4h", "type": "destination_available", "symbol": "USDCHF", "zone_id": "4h-638--1", "direction": "supply", "lower": 0.90378, "upper": 0.9046, "proximal": 0.90378, "distal": 0.9046, "origin_time": 1739995200, "confirmed_at": 1740052800, "state": "unmitigated"}
12th August 2026 18:53:58 IST | destination_available | {"ts_utc": "2026-08-12T13:23:58.378512+00:00", "ts_ist": "12th August 2026 18:53:58 IST", "stream": "4h", "type": "destination_available", "symbol": "USDCHF", "zone_id": "4h-688--1", "direction": "supply", "lower": 0.90166, "upper": 0.90297, "proximal": 0.90166, "distal": 0.90297, "origin_time": 1740945600, "confirmed_at": 1741089600, "state": "unmitigated"}
12th August 2026 18:53:58 IST | destination_available | {"ts_utc": "2026-08-12T13:23:58.378512+00:00", "ts_ist": "12th August 2026 18:53:58 IST", "stream": "4h", "type": "destination_available", "symbol": "USDCHF", "zone_id": "4h-700--1", "direction": "supply", "lower": 0.89072, "upper": 0.89239, "proximal": 0.89072, "distal": 0.89239, "origin_time": 1741219200, "confirmed_at": 1741262400, "state": "unmitigated"}
12th August 2026 18:53:58 IST | destination_available | {"ts_utc": "2026-08-12T13:23:58.379512+00:00", "ts_ist": "12th August 2026 18:53:58 IST", "stream": "4h", "type": "destination_available", "symbol": "USDCHF", "zone_id": "4h-821--1", "direction": "supply", "lower": 0.88184, "upper": 0.88377, "proximal": 0.88184, "distal": 0.88377, "origin_time": 1743609600, "confirmed_at": 1743638400, "state": "unmitigated"}
12th August 2026 18:53:58 IST | destination_available | {"ts_utc": "2026-08-12T13:23:58.379512+00:00", "ts_ist": "12th August 2026 18:53:58 IST", "stream": "4h", "type": "destination_available", "symbol": "USDCHF", "zone_id": "4h-1073--1", "direction": "supply", "lower": 0.82709, "upper": 0.8347, "proximal": 0.82709, "distal": 0.8347, "origin_time": 1748462400, "confirmed_at": 1748534400, "state": "unmitigated"}
12th August 2026 18:53:58 IST | destination_available | {"ts_utc": "2026-08-12T13:23:58.380516+00:00", "ts_ist": "12th August 2026 18:53:58 IST", "stream": "4h", "type": "destination_available", "symbol": "USDCHF", "zone_id": "4h-1129--1", "direction": "supply", "lower": 0.82204, "upper": 0.82317, "proximal": 0.82204, "distal": 0.82317, "origin_time": 1749600000, "confirmed_at": 1749657600, "state": "unmitigated"}
12th August 2026 18:53:58 IST | destination_available | {"ts_utc": "2026-08-12T13:23:58.380516+00:00", "ts_ist": "12th August 2026 18:53:58 IST", "stream": "4h", "type": "destination_available", "symbol": "USDCHF", "zone_id": "4h-2276-1", "direction": "demand", "lower": 0.76781, "upper": 0.76953, "proximal": 0.76953, "distal": 0.76781, "origin_time": 1772409600, "confirmed_at": 1772467200, "state": "unmitigated"}
12th August 2026 18:53:58 IST | destination_available | {"ts_utc": "2026-08-12T13:23:58.381514+00:00", "ts_ist": "12th August 2026 18:53:58 IST", "stream": "4h", "type": "destination_available", "symbol": "USDCHF", "zone_id": "4h-2589-1", "direction": "demand", "lower": 0.77677, "upper": 0.77856, "proximal": 0.77856, "distal": 0.77677, "origin_time": 1778500800, "confirmed_at": 1778558400, "state": "unmitigated"}
12th August 2026 18:53:58 IST | destination_available | {"ts_utc": "2026-08-12T13:23:58.381514+00:00", "ts_ist": "12th August 2026 18:53:58 IST", "stream": "4h", "type": "destination_available", "symbol": "USDCHF", "zone_id": "4h-2679-1", "direction": "demand", "lower": 0.78196, "upper": 0.78311, "proximal": 0.78311, "distal": 0.78196, "origin_time": 1780286400, "confirmed_at": 1780329600, "state": "unmitigated"}
12th August 2026 18:53:58 IST | destination_available | {"ts_utc": "2026-08-12T13:23:58.382513+00:00", "ts_ist": "12th August 2026 18:53:58 IST", "stream": "4h", "type": "destination_available", "symbol": "USDCHF", "zone_id": "4h-2703-1", "direction": "demand", "lower": 0.78715, "upper": 0.78923, "proximal": 0.78923, "distal": 0.78715, "origin_time": 1780632000, "confirmed_at": 1780675200, "state": "unmitigated"}
12th August 2026 18:53:58 IST | destination_available | {"ts_utc": "2026-08-12T13:23:58.382513+00:00", "ts_ist": "12th August 2026 18:53:58 IST", "stream": "4h", "type": "destination_available", "symbol": "USDCHF", "zone_id": "4h-2754-1", "direction": "demand", "lower": 0.79096, "upper": 0.79247, "proximal": 0.79247, "distal": 0.79096, "origin_time": 1781668800, "confirmed_at": 1781726400, "state": "unmitigated"}
12th August 2026 18:53:58 IST | destination_available | {"ts_utc": "2026-08-12T13:23:58.383512+00:00", "ts_ist": "12th August 2026 18:53:58 IST", "stream": "4h", "type": "destination_available", "symbol": "USDCHF", "zone_id": "4h-2758-1", "direction": "demand", "lower": 0.79816, "upper": 0.79939, "proximal": 0.79939, "distal": 0.79816, "origin_time": 1781740800, "confirmed_at": 1781784000, "state": "unmitigated"}
12th August 2026 18:53:58 IST | destination_available | {"ts_utc": "2026-08-12T13:23:58.383512+00:00", "ts_ist": "12th August 2026 18:53:58 IST", "stream": "4h", "type": "destination_available", "symbol": "USDCHF", "zone_id": "4h-2940--1", "direction": "supply", "lower": 0.8196, "upper": 0.82045, "proximal": 0.8196, "distal": 0.82045, "origin_time": 1785326400, "confirmed_at": 1785355200, "state": "unmitigated"}
12th August 2026 18:53:58 IST | destination_available | {"ts_utc": "2026-08-12T13:23:58.384512+00:00", "ts_ist": "12th August 2026 18:53:58 IST", "stream": "4h", "type": "destination_available", "symbol": "USDCHF", "zone_id": "4h-2944--1", "direction": "supply", "lower": 0.8155, "upper": 0.81742, "proximal": 0.8155, "distal": 0.81742, "origin_time": 1785384000, "confirmed_at": 1785412800, "state": "unmitigated"}
12th August 2026 18:54:05 IST | destination_available | {"ts_utc": "2026-08-12T13:24:05.847853+00:00", "ts_ist": "12th August 2026 18:54:05 IST", "stream": "4h", "type": "destination_available", "symbol": "AUDUSD", "zone_id": "4h-851-1", "direction": "demand", "lower": 0.5986, "upper": 0.60262, "proximal": 0.60262, "distal": 0.5986, "origin_time": 1744185600, "confirmed_at": 1744228800, "state": "unmitigated"}
12th August 2026 18:54:05 IST | destination_available | {"ts_utc": "2026-08-12T13:24:05.847853+00:00", "ts_ist": "12th August 2026 18:54:05 IST", "stream": "4h", "type": "destination_available", "symbol": "AUDUSD", "zone_id": "4h-863-1", "direction": "demand", "lower": 0.61807, "upper": 0.62424, "proximal": 0.62424, "distal": 0.61807, "origin_time": 1744344000, "confirmed_at": 1744401600, "state": "unmitigated"}
12th August 2026 18:54:05 IST | destination_available | {"ts_utc": "2026-08-12T13:24:05.848852+00:00", "ts_ist": "12th August 2026 18:54:05 IST", "stream": "4h", "type": "destination_available", "symbol": "AUDUSD", "zone_id": "4h-1859-1", "direction": "demand", "lower": 0.64359, "upper": 0.64486, "proximal": 0.64486, "distal": 0.64359, "origin_time": 1764072000, "confirmed_at": 1764100800, "state": "unmitigated"}
